,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language
87,1309962746746867712,2020-09-26 21:07:11,"Seeing my family on making major moves during this time just warms soul!! Give it a watch and thumbs up!
#TheSuttonWay

XFINITY Mobile TV Commercial, 'Go Your Own Way: Save $400 and $400 off Samsung' - https://t.co/JgZZIr4zGp #ispottv",SymoneElena,,,"Atlanta, GA",en
6283,1309966622422163456,2020-09-26 21:22:35,"@IGN Great review! I got one too and did a great VERY informative video too! https://t.co/NyXtk4TYYs
#Samsung",DadTechReview,,,"Dallas, TX",en
6076,1309967903438102529,2020-09-26 21:27:40,@NerdyNetty Samsung any of the 20 series have an amazing camera especially the Ultra 👀,amptv_,,,South Carolina,en
6282,1309968142500802566,2020-09-26 21:28:37,Maybe if I tweet @SamsungMobile and @SamsungMobileUS every day they will fix the latest Galaxy Wearable app update. My watch is now useless. Just look at all the app reviews. Don't buy one until they fix it.,lovemyboys0611,,,"Austin, TX",en
6281,1309968235828183041,2020-09-26 21:29:00,"The sound on my phone wasn't working but then this #digiornio ad came along and that lil #Samsung snapped to attention- full blast audio. Corporate tech support? Its not I.T., its @DiGiorno

Companies mentioned, sponsor me and I will do this kinda stuff... ?",goodnight_the,,,Earth,en
299,1309970643161505792,2020-09-26 21:38:34,"@Morf_UK @NerdyNetty Yes just got a Samsung note20, love the camera! Just gotta take out the layers of filters the cam comes with though! My skin looked too smooth on camera then I went to the bathroom mirror and saw all my acne again. Hahah",corgisaan,,"Los Angeles, CA","Los Angeles, CA",en
6712,1309972780004249600,2020-09-26 21:47:03,Verizon’s Samsung Galaxy S20 Fan Edition 5G Ultra Wideband has finally dethroned Sprint’s Samsung Galaxy S II Epic 4G Touch for all-time worst phone name https://t.co/2xShjlTaVK https://t.co/4Dhh4zWIgq,Isnetflixdown01,,,"Chicago, IL",en
2792,1309975764981481472,2020-09-26 21:58:55,"@SamsungSupport I can't understand how a small cracked screen has too cost 310 to replace? what does it cost to manufacure? 10$ it's ungodly to hose the public that way,",Robertinno53,,,Bronx NY,en
5612,1309978791662542851,2020-09-26 22:10:56,"Samsung was still in its really ugly TouchWiz phase, so having that lock screen helped with making my phone stand out from the rest.",sarcasticwolf,,,"Toa Alta, Puerto Rico",en
3651,1309982136053702663,2020-09-26 22:24:14,Not even 3 days owning the @SamsungMobileUS #Note20Ultra from @TMobile and the screen broke from a fall less than one foot onto a wood floor in a @speckproducts case. Guess this one wasn't built for impact and Gorilla Glass Victus isn't as strong as the claim 😭 #samsung #note20 https://t.co/Hy1qRrCvGy,TheRealMedicCJ,,,Michigan,en
695,1309982387888099329,2020-09-26 22:25:14,Working downtime in stores is crucial for ongoing success - new knowledge on a device and or promo is always available! Behaviors we build everyday are the foundations for growth / longevity. Grand St Crew learning new features of Samsung devices after AT&amp;T TV Role Plays. https://t.co/DCrDkVhdC1,Atwalker13,,,"Astoria, Queens",en
5172,1309982539218649088,2020-09-26 22:25:50,"9/17, I woke, phone's operational. By 11:30, the password isn't working &amp; I've been locked out of it. I talk to @Verizon who can't help. I talk to @SamsungMobile who tells me there IS a way for them to fix these situations, but @Verizon opts out of service, so they can't help",TashaDMartin,,,"Bella Vista, AR",en
694,1309985280699568130,2020-09-26 22:36:43,#beauty #fashion #music #crazy #shopping #love #womensfashion QGEEM USB Type C Cable USB-C Mobile Phone Fast Charging USB Charger Cable for Samsung Galaxy S9 Huawei Mate 20 Xiaomi USB Type-C https://t.co/OqPCtqpczP https://t.co/i2l8d329FU,tuneotune,,,"Hartford, Connecticut",en
6075,1309986065701367809,2020-09-26 22:39:51,"In case you missed my recent tech video we reviewed the @Samsung Galaxy 20 +

🎬 https://t.co/WZqpKn1Lea

This will be my last phone review since I'm switching up my content 2021! https://t.co/A2rIUEWI3M",whitedesku,,,DOODCAVE ,en
298,1309990397834272768,2020-09-26 22:57:03,"@MikeSievert I canceled my tablet line, speed is way too slow. @askdes send me a Samsung 5g phone to test please https://t.co/4w4UQaVwJP",Jose831_,,,"Salinas, CA",en
1854,1309991572486922240,2020-09-26 23:01:44,@Viperous Damn you got a Samsung camera?,AlmightyAnt7,,,"Illinois, USA",en
6280,1309992184679202816,2020-09-26 23:04:09,"Alright, so I have *thoughts* on OOS 11:
- OnePlus put Helvetica back on the phone and it looks HOT
- OnePlus weather is now the reincarnation of Yahoo Weather
- omg that gallery app swipy UI is *extremely* Windows Phone
- lots of copying of Samsung here
https://t.co/sVdnoklAqk",cmk256,,,"Austin, TX",en
5974,1309993365795147776,2020-09-26 23:08:51,@SamsungMobileUS  I’d appreciate it you are going to sell a $1000 phone then you staff your customer service with individuals that know how to work all aspects of the samsung AR emoji.   Customer has been pitiful today,GoddessMarvette,,,"Georgia, USA",en
6548,1309995885846302720,2020-09-26 23:18:52,"Samsung One UI 3 0 With Android 11 - OFFICIAL Hands On and FIRST Look
https://t.co/L8TqLW0xur
#samsung #oneui3",APicard27,,,"Montréal, Québec",en
6171,1309996304077119488,2020-09-26 23:20:32,"I haven't mentioned it but I got a new phone a couple of weeks ago, Samsung Galaxy Note 10+
And I am loving it, it's good to have an s-pen again 
Also I figured out how to disconnect Bixby from the power button and adjust the volume limit which gets rid of the warning https://t.co/bJ0ZwT2Jsc",spaceopossum2,,,KY USA,en
112,1309996310238580746,2020-09-26 23:20:33,Is that your Samsung galaxy 11 ultra? Accompanied by your signed markiplier phone case? Or are you just happy to see me?,Art_Dumper,,,"Joplin, MO",en
1730,1309999805012213760,2020-09-26 23:34:26,#AmazonPrimeVideo this is how stupid and poorly programmed your app is.... the exit option stays on the screen for 2 or 3 minutes before it actually exits 90 % of the time and it never exits 10 %. This has been on all last night and all of today? #samsung tvs also suck https://t.co/3QeFjdRtuF,TonyStates1,,,"Boise, Idaho USA",en
6624,1310001824074625025,2020-09-26 23:42:28,@EmersonBarrett You don't have ones for a Samsung do you? Cause I'm planning on getting that type of phone sometime this week,LittleBastard29,,,"Astoria, OR",en
297,1310002668048318464,2020-09-26 23:45:49,"@BringBackBTTF @PdogGray It had BTTFTR, as well as another motion simulator called Starquest Adventure for the Samsung Pavilion Expo in 1993. Here's another version with more in-depth information from Douglas Trumbull. https://t.co/GS8Cr7zmnz",CowMissing,,,"Universal City, Los Angeles",en
4972,1310002921560571905,2020-09-26 23:46:49,@Seahawks THE-DON.   NUMBER 07.  COLOR GREEN  PHONE SAMSUNG GALAXY NOTE 10,mythmagic007,,,Jersey City,en
5117,1310009460266397697,2020-09-27 00:12:48,"@SamsungMobileUS just wanted to let you guys know, I pre-ordered the galaxy s20 ultra. I've had this phone for about 6 months or so and because of this phone I will never own another Samsung product. Waste of money.",MiiseryDK,,,"Oregon, USA",en
5972,1310009558480412673,2020-09-27 00:13:12,"@juliansrevenge Hi there, depending on the type of TV you have, For example, Samsung TVs are not supported for this fight. You may need to cast from a cellular device or use another means to stream the fight. Please respond to a DM if we can be of any further service. GS https://t.co/ZeJw5c96YN",sho_help,,,"New York, NY",en
5971,1310010254386704384,2020-09-27 00:15:58,@iamwaynegilbert @MeFOTOTripods @SamsungMobile @SamsungUK @SamsungMobileSA @SamsungMobileUS I do need a tall smartphone tripod thats inexpensive as well.,KnightRalph316,,,"New York, NY",en
4969,1310011372600782851,2020-09-27 00:20:24,@KnightRalph316 @MeFOTOTripods @SamsungMobile @SamsungUK @SamsungMobileSA @SamsungMobileUS Yes and use voice activation to trigger the shutter. Absolutely no shake to the device. 1,iamwaynegilbert,,,"Brooklyn, NY",en
296,1310015140025126912,2020-09-27 00:35:22,@TheMagentaBoss @SamsungMobile My favorite phone rn. 🔥🔥🔥,justbeslick,,,"Oakland, CA",en
3468,1310018527332642816,2020-09-27 00:48:50,@TorificallyTori I also try to do some decent photography when I'm able to. That's part of the reason why I upgraded my phone to the newest Samsung... not the folding one but the other fancy one!,K8TBenoit,,,"Missouri, USA",en
4968,1310020509992615937,2020-09-27 00:56:43,"@jaymes_e @pspx99 @oneplus @SamsungMobile I seriously wish 8t doesn't cost atleast same as s20FE which is $700 but it seems quite difficult as even the OnePlus 8 comes at same price point. Even at same price, samsung have better camera, ip rating, wireless charging which gonna attract more people over just fast charging",DinkarTaneja,,,"Montréal, Québec",en
3467,1310020847034413056,2020-09-27 00:58:03,@SamsungMobile This phone is so messed up. https://t.co/gXJZnTRwyr,AndreaJeanine18,,"St Louis, MO",,en
1852,1310021304016351232,2020-09-27 00:59:52,@robeytech @XboxGamePass @SamsungMobile I hope you like the Galaxy Z fold 2 man. That device is magic,d_spi,,,"Chicago, IL",en
2260,1310021826828029952,2020-09-27 01:01:57,"@TheDolphinJoe If you go Sony either the 900H or 950G series par from the Sony OLED. I always tell my customers if it’s a bright room Q90 Samsung, will not show a glare on the screen at any angle, also in color it cancel out the annoying reflection of yourself sat on your couch.",stephenwstahl,,,United States,en
6914,1310023315797442560,2020-09-27 01:07:52,who wanna be my sugarparent so i can get a phone and not suffer on a SAMSUNG KIDS tablet?,PUPPYTOUCH,,,14,en
2259,1310024108659429377,2020-09-27 01:11:01,@TheDolphinJoe Quantum X highly recommend it for sure at price point and size. Also I think it has a refresh rate of at least 120 maybe even 240 up scaled to 960 which is beast for gaming and any fast action on the screen. TCL 8 is again a company owned my Samsung actually.,stephenwstahl,,,United States,en
295,1310025123664068608,2020-09-27 01:15:03,@SamsungMobileUS aweful design.  camera screen scratched easily,Pajcha719,,,"Norco, CA",en
3413,1310025297761308673,2020-09-27 01:15:44,@Netflixhelps hi. I cannot watch Netflix in any of my 2 Samsung smart tv since this morning. I already tried everything and is still not working,magavaiz,,,"Virginia, USA",en
688,1310028844162744321,2020-09-27 01:29:50,"@iamwaynegilbert @SamsungMobileUS I like walking this path, always lots of people walking so when I have a chance to take a pic of no one in front of me I take one quick... They come out pretty good for being taken while I'm walking! 😊 Should stop to take them, but then my watch pauses my walk, lol",MariKrajczar,,,Pennsylvania,en
5170,1310030361536200705,2020-09-27 01:35:52,Woke up one morning to find that the camara screen of my new Samsung S20 Utra was cracked.  Did some research and found out that this might be a design flaw.  @SamsungMobile is not helping customers.  I expeced more for $1400.  Getting it repaired myself.  #badcustomerservice https://t.co/HLIjtmLseL,Solomania12,,,"Coppell, TX",en
6546,1310030879532740608,2020-09-27 01:37:55,Just pre-ordered the @SamsungMobileUS #GalaxyS20FE and I'm so excited this is the first phone I've ever actually wanted enough to preorder! Thanks @TMobile @sprint,z_randolph98,,,Connecticut,en
