,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,tag
0,1307255174499454977,2020-09-19 09:48:15, Sorry this is why i change from Samsung to Hawaii after using a fold for  year i had issues with dead pixels and a line down my screen it is not my fault and never drop it it has your bloody updates,kickass1456,,,"Springvale, ME",negative
1,1307293282934939649,2020-09-19 12:19:41, Oh  it has very heavy for a phone ,d3sc3n7,,,"Kansas City, MO",negative
2,1307298787224956935,2020-09-19 12:41:33, i love the phone but not fond of the neq colors  will the note ultra come in blue ,ChrisGCampbell,,,USA,positive
3,1307304720046882816,2020-09-19 13:05:08, Yes  it is an amazing phone  You got the mystic black   Nice ,MariKrajczar,,,Pennsylvania,positive
4,1307307206677794816,2020-09-19 13:15:01,for all it offers  this samsung  smartphone is worth its price   lifestyle   ,metroareadev,,,"Maryland, USA",positive
5,1307313557151846403,2020-09-19 13:40:15, Yup  This phone is pretty amazing,mkostial05,,,"St Louis, MO",positive
6,1307315648704454656,2020-09-19 13:48:34, it is such an amazing device ,MariKrajczar,,,Pennsylvania,positive
7,1307317152915972096,2020-09-19 13:54:32, yeah kind of sucks  my samsung tv doesn t even have the app so i have to watch on my phone,Halored27,,,Anaheim,negative
8,1307319912906526720,2020-09-19 14:05:30, They may buy their parts from Samsung but they sure as fuck know how to use them better than Samsung doesand that coming from someone who has had both  aAndroidcamera quality is complete dick and balls  that just a fact ,beaver_emma,,,"Plainfield, CT",negative
9,1307328374113808384,2020-09-19 14:39:08,  as a long time loyal samsung phone owner i feel slited when i purchase the new s note ultra  at first when i logged in you were offering a pad with my purchase i did not buy at that time  now i only get the phone with no perks  not cool,shines44,,,BK NY,negative
10,1307339335809871874,2020-09-19 15:22:41, Samsung iterated on the note  design but had to raise the camera bump to fit the periscope camera in this case,likemiketooo,,,"Virginia, USA",neutral
11,1307343356616470528,2020-09-19 15:38:40,so i ordered cases for my fold  back on the th     was supposed to have them yesterday but according to verizon  samsung did not ship enough cases so now i have to wait til the rd  ok then if something happens between now and then i fully expect one of you to replace my device ,Vyyyper,,,Chicago,negative
12,1307344423123128321,2020-09-19 15:42:54, Bro you said  ask Samsung about my note edge   i replied who of are you that Samsung know about your particular device ,Rskyline,,,"Lewisville, TX",neutral
13,1307345213476798466,2020-09-19 15:46:02, Lol it is because that a crazy stupid made phone no one on Samsung is going to fix  That screen alone costs that or at that time at least  So that was pretty cheap TBA  They will not fix your stuff they just replace it ,Rskyline,,,"Lewisville, TX",negative
14,1307347403150819329,2020-09-19 15:54:44, The ad does not say that they are the only one with g phone  So why false advertisement ,EliasSy7,,,"La Verne, CA, USA",negative
15,1307347681702969345,2020-09-19 15:55:51, They call it repair  what happens inside is something else  At least here in the us  Samsung will not try to repair anything in the phone  they will just replace the affected part  if it was the motherboard that had corrosion that is why they offer the replacement for   Makes sense ,Rskyline,,,"Lewisville, TX",negative
16,1307347765618520069,2020-09-19 15:56:11, if you were able to access the hotspot feature on your unlocked samsung device  the feature was not approved by cricket which violated our terms and conditions  at this time  we do not approve or allow hotspot access to unlocked byod devices ,Cricketnation,,,"Atlanta, Georgia",neutral
17,1307347854340562950,2020-09-19 15:56:32,i don t see what the point of having one  cellphones do the same thing  my kids have samsung tablets but they re on their phone much more than the tablets    i was big on tablets when they first came out  i rarely use the one i have now  ,ejayjones49,,,"Fort Lauderdale, FL",neutral
18,1307348922852020226,2020-09-19 16:00:47,thinking of buying samsung galaxy s s  plus for total wireless  verizon towers  gb   refurbished  read our lates ,iConvertwireles,,,"Nashville, TN",neutral
19,1307348977856192512,2020-09-19 16:01:00, if you are someone who works with office  and PD files like i do on a daily basis  that z fold  is definitely the device for you  You cannot beat that big screen for mufti tasking ,mkostial05,,,"St Louis, MO",positive
