,Unnamed: 0,Tweet Id,Tweet Datetime,Tweet Text,Twitter @ Name,Tweet Coordinates,Place Info,User Location,Tweet Language,tag
0,3466,1305017339700682755,2020-09-13 05:35:54,Imma have an AP one day but until then imma continue rocking this samsung watch,mpineda_57,,,"Albuquerque, NM",en,positive
1,5302,1305023217271177216,2020-09-13 05:59:15,@PSYCHOV3N0M @introvortix @UniverseIce And still it’s too expensive and most people won’t ever use that big screen for the productivity Samsung is talking about. They only mention that to make us imagine what incredible things we’d be able to do if we buy that phone...,vladulescu04,,,Romania,en,negative
2,1752,1305029038554054656,2020-09-13 06:22:23,"Samsung Unpacked 2020 Best phone, The Galaxy S20, Z Flip https://t.co/dqgJ0AnTsC https://t.co/3SnNkaoHRs",MyPhoneSet,,,United States,en,positive
5,1749,1305048317001228288,2020-09-13 07:39:00,"Wait a second, just got this... on a OnePlus phone, my Samsung S6 hasn't been powered on in months! https://t.co/z21tQ3trbg",KevinElston711,,,United States,en,positive
7,5301,1305068829433712640,2020-09-13 09:00:30,Especially because you can trick ur Samsung out and the colors are prettier plus so many cool features...it’s really YOUR device.,shesgorg,,,"California, USA",en,neutral
10,321,1305079575106338816,2020-09-13 09:43:12,Gonna jump ship to Android...that new Samsung has a 29289202 megapixel camera and I neeeed it!!,rose_valenciia,,,"Long Beach, CA",en,positive
11,3919,1305095450932973570,2020-09-13 10:46:17,Just took off my phone's screen protector (that came preinstalled by Samsung) and it turns out the glass I thought had chipped was actually just screen protector damage. I thought I was gonna have to pay £229 for a new screen. Thank you Jesus. Thank you Samsung https://t.co/3q231eyTmT,_trudiegraham,,,Scotland,en,positive
12,1102,1305098326707253248,2020-09-13 10:57:43,Would anyone want to purchase a 75” Samsung 4k screen? Before I toss it on the public scam place. Absolutely zero issues. Bought it roughly a year ago. I’m trying to upgrade is all. Wife needs some motivation. I have tons of screenshots if needed. https://t.co/5qV6pna7qp,theJRuss,,"Florida, USA",East Duval County,en,neutral
13,2584,1305101487752839168,2020-09-13 11:10:16,"@LloydGarmad0nn Yeah so all you need is a new phone made by a different company

Like Samsung",LukeTheNindroid,,,"Virginia, USA",en,positive
14,1101,1305105737446830080,2020-09-13 11:27:10,Wait why is this amazing? Why do I have a sudden desire to buy a Samsung phone? Omg 😳 https://t.co/KrdFQ0JuEl,AshHamarowicz,,,"Orlando, Fl",en,positive
15,4643,1305109379335753728,2020-09-13 11:41:38,"@Hazim61982204 @Eventus98921187 @SamsungMobile @SamsungSverige @SamsungMobileUS @SamsungMobileCA Hi Hazim, I have had Samsung Note as since note2 and i think it is the best phone (i have a Note 9 500GB mod now) , but somethings makes me REALLY pissed..like: if you wants to repair a broken screen cost alot and you must send your phone away for now 3 weeks usally 7-10 days -&gt;",RPaulsson,,,Sweden,en,negative
16,320,1305111517533073414,2020-09-13 11:50:08,"Plot twist, this video was filmed all on the new Samsung phone 😂😂 https://t.co/dNOT59mQcY",sarangtaaee,,,"Los Angeles, CA",en,neutral
19,3918,1305114299572973568,2020-09-13 12:01:11,I wanted to buy a samsung phone but my savings is screaming at me. 😢,alligaga_ver2,,,nowhere ,en,negative
20,1207,1305114988646932485,2020-09-13 12:03:55,"Nobody:

Me at 6am: The sexual tension created when you pair AirPods to a Samsung phone. 👁👄👁",DanielleJSantos,,,"Savannah, GA",en,positive
21,5059,1305117386249396229,2020-09-13 12:13:27,"Lol I love this concept so much, but I still can't forget this Samsung commercial from 10+ years ago, it was so cool. 😆

Tablo + BoA + Xia Junsu + Jin Bora 
#SamsungAnycall #Anyband

https://t.co/0VRXVJzrZg https://t.co/Diz7SpOtFs",Whalien_92,,,Seattle,en,positive
23,1214,1305120018741383168,2020-09-13 12:23:55,so they want me to buy a Samsung cause I didn’t watch them battle for NOTHING https://t.co/uR9gCv3mar,m_sisiliaaa,,,"Honolulu, HI",en,neutral
26,5300,1305126693519200257,2020-09-13 12:50:26,Holy fck me!  The Samsung ad.  https://t.co/NVQr9vUYeG,nunn_pam,,,"Richmond, VA",en,positive
27,3867,1305129914346082305,2020-09-13 13:03:14,@SamsungMobile @BTS_twt Samsung i have decided to change my phone because of this. thank you for giving us Actor Jin and Dancer Jin!!!!,jinnieina,,,moon. ,en,positive
29,1386,1305136389596610561,2020-09-13 13:28:58,"Needless to say, I'm pretty excited for the future of smartphone technology. Yes, I am a nerd. 😂 @SamsungMobileUS @SamsungMobile @Samsung @SamsungUS",mkostial05,,,"St Louis, MO",en,positive
30,1575,1305137662970540033,2020-09-13 13:34:01,@edsbs the Samsung football phone never quite took off.,michexposures,,,"Ypsilanti, MI",en,neutral
31,152,1305148652340436992,2020-09-13 14:17:41,was hoping that the samsung thingi was a jihope subunit so they can both do some parkour dancing sht wit that phone 🙄,rosiejiminiee,,,PARKS,en,neutral
33,4980,1305152711298613249,2020-09-13 14:33:49,"@SamsungSupport hi - I’m trying to connect my Samsung washer/dryer set to the SmartThings app, but I can’t tell if the app supports my device, can you help?",cassidyrota,,"East Providence, RI","Providence, RI",en,neutral
34,2581,1305159571015639040,2020-09-13 15:01:05,@RealAmanda I've always been a fan of samsung. Samsung everything from my tv to my phone to my microwave 🤣,Treseption,,,"Virginia, USA",en,positive
35,1926,1305160419187650561,2020-09-13 15:04:27,"@SamsungMobile @BTS_twt Poor Kookie, having to fight for a photo.  Samsung better get him his own phone so that he can play his video games...🤣🤣🤣🤣🤣🤣🤣",LOVEOT7FOREVER,,,"Arizona, USA",en,neutral
36,151,1305162161291845632,2020-09-13 15:11:22,This is so cool!! @Bts_twt x Samsung...   https://t.co/RN3tQDruTt,cianelovebts,,,"Phoenix, AZ",en,positive
37,1925,1305162900387115013,2020-09-13 15:14:18,Anyone else with a Samsung phone have TWO American flags emojis🤔 https://t.co/rYiDIQxz3D,beachydreamer,,,"Pennsylvania, USA",en,neutral
39,5058,1305164298780508161,2020-09-13 15:19:52,"Um this is fucking annoying
#samsung #android
Never had this happen before on any other device 

🤬 every time I open anything that has a place to type
I have this bs notification &amp; popup to clear

Yes everything is updated
Reset
Safemode
Why is this happening? https://t.co/EwL7lTo3wJ",AfyaEa,,,"Surrey, BC",en,negative
44,3865,1305170082541297665,2020-09-13 15:42:51,Okay Samsung. I see what you did here. #btsxsamsung  https://t.co/LMsC4UiWv9,janettedaniel,,,Texas,en,neutral
48,1382,1305174175829630977,2020-09-13 15:59:07,"@blakehills27659 I'm going to need you to drop a samsung curved glass phone with your case on it, from 8 feet down a concrete staircase from a swinging purse. Just to be sure it'll work for me.",Sndrab,,,Illinois,en,neutral
49,1099,1305174504549867523,2020-09-13 16:00:25,@butterflysuki77 @RafranzDavis @playlistforthat Now that Samsung has bullied me with that jinkook ad into buy a new phone -- I'm probably going to do that once i get my new phone LOL,BtsChocox,,,"Lehigh Acres, FL",en,neutral
52,3916,1305175538886160384,2020-09-13 16:04:32,Samsung should explain this... Exynos vs Qualcomm?! - Note 20 Ultra https://t.co/37nhiOEPtq via @YouTube,TonysC3DWorld,,,"Dallas, Texas",en,negative
55,4979,1305177049041166341,2020-09-13 16:10:32,Does anyone know if they were planning on restocking the Samsung BTS phones? I couldn't justify it when they were on sale but my mom broke my phone 😅😭 I'd hate to replace it just to find out they have the BTS phone again. @SamsungMobile? 😬,mashka288,,,Upstate NY,en,neutral
58,3465,1305185216907091969,2020-09-13 16:42:59,"Samsung Galaxy Buds Live review - Unique design with perfect fit, finally! https://t.co/kQ0BCn7LOR #gogitech #samsung #SamsungBudsLive #GalaxyBudsLive",jagi4ulove,,,jal,en,positive
59,318,1305186225486049280,2020-09-13 16:47:00,@ATTHelp How do I select more than one game to watch on my new Samsung tv. https://t.co/4KPJDObmKH,ItsBryanKaplan,,"West Hollywood, CA",Faith In God ,en,neutral
60,317,1305187461916622849,2020-09-13 16:51:54,@ATTHelp how do I watch multiple games on my new Samsung TV? https://t.co/9XLKV3aHVV,ItsBryanKaplan,,"West Hollywood, CA",Faith In God ,en,neutral
63,5057,1305189685283622912,2020-09-13 17:00:44,"NEW VIDEO!! My Note 20 Ultra review is here! Did Samsung fail me again? 
https://t.co/P0HFAlzbIj https://t.co/HrfCbNBNxD",LinusTech,,,"Vancouver, BC",en,negative
65,4180,1305193182251094016,2020-09-13 17:14:38,"Samsung is insane for doing this
https://t.co/Ac2FQki5rX",MiniChimChim,,,Dominican Republic,en,negative
68,2546,1305202406125449217,2020-09-13 17:51:17,I guess I'm done using my old Samsung Galaxy S6 as a dedicated PokemonGO device. https://t.co/MLRs5A6yHv,becklo,,,Detroit,en,neutral
